country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","08-04-2025 11:00:00",25.697189,85.245900,PM2.5,59,246,113
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","08-04-2025 11:00:00",25.697189,85.245900,NO2,14,33,19
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","08-04-2025 11:00:00",25.560083,87.553265,SO2,15,24,18
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","08-04-2025 11:00:00",16.509717,80.612222,NH3,2,5,4
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","08-04-2025 11:00:00",16.554731,80.649110,NO2,NA,NA,NA
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","08-04-2025 11:00:00",26.071318,91.87488,NH3,4,4,4
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","08-04-2025 11:00:00",26.071318,91.87488,OZONE,21,52,24
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","08-04-2025 11:00:00",26.349082,92.68449,OZONE,20,56,29
India,Assam,Silchar,"Tarapur, Silchar - PCBA","08-04-2025 11:00:00",24.82827,92.79525,PM2.5,12,87,57
India,Assam,Silchar,"Tarapur, Silchar - PCBA","08-04-2025 11:00:00",24.82827,92.79525,PM10,50,66,57
India,Assam,Silchar,"Tarapur, Silchar - PCBA","08-04-2025 11:00:00",24.82827,92.79525,NO2,15,16,15
India,"Andaman and Nicobar","Sri Vijaya Puram","Police Line, Sri Vijaya Puram - ANPCC","08-04-2025 11:00:00",11.654054,92.734055,CO,12,59,23
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","08-04-2025 11:00:00",26.0881305,87.93840336,CO,51,82,74
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","08-04-2025 11:00:00",26.0881305,87.93840336,OZONE,18,23,19
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","08-04-2025 11:00:00",27.308328,84.531742,PM2.5,NA,NA,NA
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","08-04-2025 11:00:00",27.308328,84.531742,NO2,6,9,8
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","08-04-2025 11:00:00",26.63086,84.90051,PM2.5,18,48,32
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","08-04-2025 11:00:00",26.11442,85.39813,OZONE,1,83,15
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","08-04-2025 11:00:00",26.1403345,85.3650192,CO,48,74,64
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","08-04-2025 11:00:00",26.1209,85.3647,PM2.5,23,50,38
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","08-04-2025 11:00:00",25.586562,85.043586,NH3,2,3,3
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","08-04-2025 11:00:00",25.610369,85.132568,SO2,13,32,29
India,Bihar,Patna,"Muradpur, Patna - BSPCB","08-04-2025 11:00:00",25.619651,85.147382,PM2.5,103,236,148
India,Bihar,Patna,"Muradpur, Patna - BSPCB","08-04-2025 11:00:00",25.619651,85.147382,OZONE,6,41,16
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","08-04-2025 11:00:00",26.63086,84.90051,SO2,6,11,10
India,Bihar,Munger,"Town Hall, Munger - BSPCB","08-04-2025 11:00:00",25.376776,86.471523,PM10,67,139,107
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","08-04-2025 11:00:00",25.599486,85.113666,CO,20,52,26
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","08-04-2025 11:00:00",25.366336,87.117468,PM10,NA,NA,NA
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","08-04-2025 11:00:00",25.366336,87.117468,SO2,NA,NA,NA
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","08-04-2025 11:00:00",25.892357,86.590325,NH3,4,4,4
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","08-04-2025 11:00:00",25.859655,85.77944,NH3,2,2,2
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","08-04-2025 11:00:00",26.2271665,84.3570427,OZONE,11,64,29
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","08-04-2025 11:00:00",24.952822,84.002396,NO2,2,3,2
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","08-04-2025 11:00:00",24.952822,84.002396,OZONE,2,2,2
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","08-04-2025 11:00:00",22.348441,82.549611,PM10,94,201,145
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","08-04-2025 11:00:00",22.126650,83.483212,PM2.5,19,79,54
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","08-04-2025 11:00:00",22.126650,83.483212,NH3,2,2,2
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","08-04-2025 11:00:00",22.1910172,83.5197009,NO2,22,93,48
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","08-04-2025 11:00:00",22.1910172,83.5197009,NH3,1,2,2
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","08-04-2025 11:00:00",22.1910172,83.5197009,SO2,11,93,28
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","08-04-2025 11:00:00",21.258815,81.578979,PM10,46,112,74
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","08-04-2025 11:00:00",22.06631475,83.33820077,NO2,NA,NA,NA
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","08-04-2025 11:00:00",22.06631475,83.33820077,NH3,NA,NA,NA
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","08-04-2025 11:00:00",22.06631475,83.33820077,OZONE,NA,NA,NA
India,Delhi,Delhi,"Alipur, Delhi - DPCC","08-04-2025 11:00:00",28.815329,77.153010,NO2,25,60,44
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","08-04-2025 11:00:00",28.647622,77.3158090,PM10,96,438,234
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","08-04-2025 11:00:00",28.647622,77.3158090,OZONE,1,33,5
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","08-04-2025 11:00:00",28.695381,77.181665,PM10,137,421,242
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","08-04-2025 11:00:00",28.5710274,77.0719006,PM2.5,87,302,201
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","08-04-2025 11:00:00",28.5710274,77.0719006,CO,40,116,70
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","08-04-2025 11:00:00",28.5710274,77.0719006,OZONE,5,220,49
